Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;2022-05-09;Totalt i retning Nova;38;100,0;24;24;0;38;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;2022-05-09;Totalt i retning Pyramiden;48;100,0;24;24;0;48;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;2022-05-09;Totalt;86;100,0;24;24;0;86;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;2022-05-10;1;65;100,0;24;24;0;65;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;2022-05-10;2;37;100,0;24;24;0;37;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;2022-05-10;Totalt i retning Nova;37;100,0;24;24;0;37;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;2022-05-10;Totalt i retning Pyramiden;65;100,0;24;24;0;65;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;2022-05-10;Totalt;102;100,0;24;24;0;102;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-11T00:00+02:00;2022-05-12T00:00+02:00;2022-05-11;1;60;100,0;24;24;0;60;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-11T00:00+02:00;2022-05-12T00:00+02:00;2022-05-11;2;40;100,0;24;24;0;40;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-11T00:00+02:00;2022-05-12T00:00+02:00;2022-05-11;Totalt i retning Nova;40;100,0;24;24;0;40;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-11T00:00+02:00;2022-05-12T00:00+02:00;2022-05-11;Totalt i retning Pyramiden;60;100,0;24;24;0;60;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-11T00:00+02:00;2022-05-12T00:00+02:00;2022-05-11;Totalt;100;100,0;24;24;0;100;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-12T00:00+02:00;2022-05-13T00:00+02:00;2022-05-12;1;59;100,0;24;24;0;59;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-12T00:00+02:00;2022-05-13T00:00+02:00;2022-05-12;2;30;100,0;24;24;0;30;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-12T00:00+02:00;2022-05-13T00:00+02:00;2022-05-12;Totalt i retning Nova;30;100,0;24;24;0;30;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-12T00:00+02:00;2022-05-13T00:00+02:00;2022-05-12;Totalt i retning Pyramiden;59;100,0;24;24;0;59;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-12T00:00+02:00;2022-05-13T00:00+02:00;2022-05-12;Totalt;89;100,0;24;24;0;89;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-13T00:00+02:00;2022-05-14T00:00+02:00;2022-05-13;1;74;100,0;24;24;0;74;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-13T00:00+02:00;2022-05-14T00:00+02:00;2022-05-13;2;55;100,0;24;24;0;55;0,00;-;-;-;-;-;-;-;-
