Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4979;4454;5504;99,8;30;30;0;1;100,0;Totalt i retning HANSJORDNESBUKTA;4706;271;111;91;52;17;17;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4646;4187;5105;99,8;30;30;0;0;100,0;Totalt i retning LANGNESTUNNELEN;4354;292;120;93;53;26;26;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;9625;8648;10602;99,8;30;30;0;1;100,0;Totalt;9060;563;231;184;105;43;43;0
82998V1125914;Tromsøbrua avkjøring;FV862 S1D1 m1780;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;5219;4884;5554;100,0;31;31;0;9;99,8;1;4851;358;167;118;27;46;45;1
82998V1125914;Tromsøbrua avkjøring;FV862 S1D1 m1780;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4615;4356;4874;100,0;31;31;0;599;87,0;2;3434;582;181;129;163;109;87;22
82998V1125914;Tromsøbrua avkjøring;FV862 S1D1 m1780;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4602;4345;4859;100,0;31;31;0;595;87,1;Totalt i retning Tromsdalen;3433;574;180;125;161;108;86;22
82998V1125914;Tromsøbrua avkjøring;FV862 S1D1 m1780;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;5232;4896;5568;100,0;31;31;0;14;99,7;Totalt i retning Tromsøya;4852;366;168;122;30;47;46;1
82998V1125914;Tromsøbrua avkjøring;FV862 S1D1 m1780;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;9834;9242;10426;100,0;31;31;0;609;93,8;Totalt;8285;940;348;247;190;155;132;23
82998V1125914;Tromsøbrua avkjøring;FV862 S1D1 m1780;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5531;5252;5810;100,0;28;28;0;12;99,8;1;5127;392;186;123;32;52;51;1
82998V1125914;Tromsøbrua avkjøring;FV862 S1D1 m1780;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;4794;4602;4986;100,0;28;28;0;717;85,0;2;3479;598;184;133;157;124;99;25
82998V1125914;Tromsøbrua avkjøring;FV862 S1D1 m1780;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;4782;4591;4973;100,0;28;28;0;712;85,1;Totalt i retning Tromsdalen;3478;592;183;130;155;123;98;25
82998V1125914;Tromsøbrua avkjøring;FV862 S1D1 m1780;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5544;5264;5824;100,0;28;28;0;18;99,7;Totalt i retning Tromsøya;5128;398;187;126;33;53;52;1
